Item_ID             Order ID            Product ID          Amount    
1712758929          PRO3                PRO3                4         
1712820992          PRO3                PR05                3         
1712823386          PRO3                PR44                30        
1712844929          PRO1                PR44                23        
1712845144          PRO1                PR02                12        
1712845706          PRO1                PR05                2         
1712851041          A103                PR44                40        
1712890719          A103                PR44                11        
1712891023          A304                PR02                5         
1712900422          OR1                 PR01                5         
1712900778          OR01                PR01                3         
1712901334          OR04                PR01                4         
1712901933          OR10                PR05                5         
1712902741          OR01                PR06                10        
1712902826          OR02                PR05                10        
1712904748          A102                PR05                10        
1712912232          test1               PR44                40        
1712912311          test1               PR01                2         
